,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,1.0,70.0,11200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,5,5,1965,1965,2.0,1.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,906,1.0,0,134,1040,1.0,1.0,1.0,1.0,1040,0,0,1040,1,0,1,0,3,1,2.0,5,1.0,0,1.0,2.0,1965.0,2.0,1,384,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,2,2008,1.0,1.0,129500
11,12,60,1.0,85.0,11924,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,9,5,2005,2006,2.0,1.0,6.0,3.0,3.0,286.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,998,1.0,0,177,1175,1.0,1.0,1.0,1.0,1182,1142,0,2324,1,0,3,0,4,1,3.0,11,1.0,2,3.0,3.0,2005.0,3.0,3,736,1.0,1.0,1.0,147,21,0,0,0,0,1.0,1.0,1.0,0,7,2006,2.0,3.0,345000
12,13,20,1.0,0.0,12968,1.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,5,6,1962,1962,2.0,1.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,737,1.0,0,175,912,1.0,3.0,1.0,1.0,912,0,0,912,1,0,1,0,2,1,2.0,4,1.0,0,1.0,2.0,1962.0,2.0,1,352,1.0,1.0,1.0,140,0,0,0,176,0,1.0,1.0,1.0,0,9,2008,1.0,1.0,144000
13,14,20,1.0,91.0,10652,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7,5,2006,2007,1.0,1.0,1.0,1.0,3.0,306.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0,1.0,0,1494,1494,1.0,1.0,1.0,1.0,1494,0,0,1494,0,0,2,0,3,1,1.0,7,1.0,1,3.0,1.0,2006.0,1.0,3,840,1.0,1.0,1.0,160,33,0,0,0,0,1.0,1.0,1.0,0,8,2007,2.0,3.0,279500
14,15,20,1.0,0.0,10920,1.0,1.0,2.0,1.0,1.0,3.0,1.0,12.0,1.0,1.0,1.0,2.0,6,5,1960,1960,2.0,1.0,2.0,2.0,1.0,212.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,733,1.0,0,520,1253,1.0,3.0,1.0,1.0,1253,0,0,1253,1,0,1,1,2,1,2.0,5,1.0,1,4.0,1.0,1960.0,1.0,1,352,1.0,1.0,1.0,0,213,176,0,0,0,1.0,3.0,1.0,0,5,2008,1.0,1.0,157000
15,16,45,2.0,51.0,6120,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,4.0,7,8,1929,2001,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0,1.0,0,832,832,1.0,1.0,1.0,3.0,854,0,0,854,0,0,1,0,2,1,2.0,5,1.0,0,1.0,2.0,1991.0,2.0,2,576,1.0,1.0,1.0,48,112,0,0,0,0,1.0,4.0,1.0,0,7,2007,1.0,1.0,132000
16,17,20,1.0,0.0,11241,1.0,1.0,2.0,1.0,1.0,4.0,1.0,12.0,1.0,1.0,1.0,2.0,6,7,1970,1970,1.0,1.0,3.0,6.0,1.0,180.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,578,1.0,0,426,1004,1.0,1.0,1.0,1.0,1004,0,0,1004,1,0,1,0,2,1,2.0,5,1.0,1,2.0,1.0,1970.0,3.0,2,480,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,2.0,700,3,2010,1.0,1.0,149000
17,18,90,1.0,72.0,10791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,2.0,4,5,1967,1967,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,5.0,4.0,3.0,5.0,6.0,0,3.0,0,0,0,1.0,3.0,1.0,1.0,1296,0,0,1296,0,0,2,0,2,2,2.0,6,1.0,0,1.0,4.0,1967.0,2.0,2,516,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,2.0,500,10,2006,1.0,1.0,90000
18,19,20,1.0,66.0,13695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,5.0,1.0,1.0,2.0,5,5,2004,2004,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,646,1.0,0,468,1114,1.0,1.0,1.0,1.0,1114,0,0,1114,1,0,1,1,3,1,1.0,6,1.0,0,1.0,2.0,2004.0,2.0,2,576,1.0,1.0,1.0,0,102,0,0,0,0,1.0,1.0,1.0,0,6,2008,1.0,1.0,159000
19,20,20,1.0,70.0,7560,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,6,1958,1965,2.0,1.0,5.0,5.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,7.0,504,1.0,0,525,1029,1.0,3.0,1.0,1.0,1339,0,0,1339,0,0,1,0,3,1,2.0,6,2.0,0,1.0,1.0,1958.0,2.0,1,294,1.0,1.0,1.0,0,0,0,0,0,0,1.0,2.0,1.0,0,5,2009,3.0,2.0,139000
20,21,60,1.0,101.0,14215,1.0,1.0,2.0,1.0,1.0,3.0,1.0,11.0,1.0,1.0,1.0,1.0,8,5,2005,2006,1.0,1.0,1.0,1.0,1.0,380.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,0,1.0,0,1158,1158,1.0,1.0,1.0,1.0,1158,1218,0,2376,0,0,3,1,4,1,1.0,9,1.0,1,3.0,3.0,2005.0,1.0,3,853,1.0,1.0,1.0,240,154,0,0,0,0,1.0,1.0,1.0,0,11,2006,2.0,3.0,325300
21,22,45,2.0,57.0,7449,1.0,2.0,1.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,4.0,7,7,1930,1950,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0,1.0,0,637,637,1.0,1.0,1.0,2.0,1108,0,0,1108,0,0,1,0,3,1,1.0,6,1.0,1,3.0,1.0,1930.0,2.0,1,280,1.0,1.0,2.0,0,0,205,0,0,0,1.0,4.0,1.0,0,6,2007,1.0,1.0,139400
22,23,20,1.0,75.0,9742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8,5,2002,2002,2.0,1.0,1.0,1.0,1.0,281.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1777,1777,1.0,1.0,1.0,1.0,1795,0,0,1795,0,0,2,0,3,1,1.0,7,1.0,1,3.0,1.0,2002.0,1.0,2,534,1.0,1.0,1.0,171,159,0,0,0,0,1.0,1.0,1.0,0,9,2008,1.0,1.0,230000
23,24,120,2.0,44.0,4224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,4.0,2.0,5,7,1976,1976,1.0,1.0,7.0,7.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,840,1.0,0,200,1040,1.0,3.0,1.0,1.0,1060,0,0,1060,1,0,1,0,3,1,2.0,6,1.0,1,2.0,1.0,1976.0,2.0,2,572,1.0,1.0,1.0,100,110,0,0,0,0,1.0,1.0,1.0,0,6,2007,1.0,1.0,129900
24,25,20,1.0,0.0,8246,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,5,8,1968,2001,1.0,1.0,8.0,5.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,188,4.0,668,204,1060,1.0,1.0,1.0,1.0,1060,0,0,1060,1,0,1,0,3,1,1.0,6,1.0,1,2.0,1.0,1968.0,2.0,1,270,1.0,1.0,1.0,406,90,0,0,0,0,1.0,2.0,1.0,0,5,2010,1.0,1.0,154000
25,26,20,1.0,110.0,14230,1.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,1.0,1.0,1.0,2.0,8,5,2007,2007,1.0,1.0,1.0,1.0,3.0,640.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1566,1566,1.0,1.0,1.0,1.0,1600,0,0,1600,0,0,2,0,3,1,1.0,7,1.0,1,3.0,1.0,2007.0,1.0,3,890,1.0,1.0,1.0,0,56,0,0,0,0,1.0,1.0,1.0,0,7,2009,1.0,1.0,256300
26,27,20,1.0,60.0,7200,1.0,1.0,1.0,1.0,1.0,3.0,1.0,12.0,1.0,1.0,1.0,2.0,5,7,1951,2000,1.0,1.0,3.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,234,5.0,486,180,900,1.0,3.0,1.0,1.0,900,0,0,900,0,1,1,0,3,1,1.0,5,1.0,0,1.0,2.0,2005.0,2.0,2,576,1.0,1.0,1.0,222,32,0,0,0,0,1.0,1.0,1.0,0,5,2010,1.0,1.0,134800
27,28,20,1.0,98.0,11478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,8,5,2007,2008,1.0,1.0,1.0,1.0,3.0,200.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1218,1.0,0,486,1704,1.0,1.0,1.0,1.0,1704,0,0,1704,1,0,2,0,3,1,1.0,7,1.0,1,3.0,1.0,2008.0,1.0,3,772,1.0,1.0,1.0,0,50,0,0,0,0,1.0,1.0,1.0,0,5,2010,1.0,1.0,306000
28,29,20,1.0,47.0,16321,1.0,1.0,2.0,1.0,1.0,4.0,1.0,12.0,1.0,1.0,1.0,2.0,5,6,1957,1997,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1277,1.0,0,207,1484,1.0,3.0,1.0,1.0,1600,0,0,1600,1,0,1,0,2,1,2.0,6,1.0,2,3.0,1.0,1957.0,1.0,1,319,1.0,1.0,1.0,288,258,0,0,0,0,1.0,1.0,1.0,0,12,2006,1.0,1.0,207500
29,30,30,2.0,60.0,6324,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,3.0,1.0,2.0,4,6,1927,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0,1.0,0,520,520,1.0,4.0,2.0,1.0,520,0,0,520,0,0,1,0,1,1,4.0,4,1.0,0,1.0,2.0,1920.0,2.0,1,240,2.0,1.0,1.0,49,0,87,0,0,0,1.0,1.0,1.0,0,5,2008,1.0,1.0,68500
30,31,70,3.0,50.0,8500,1.0,3.0,1.0,1.0,1.0,1.0,1.0,14.0,2.0,1.0,1.0,1.0,4,4,1920,1950,3.0,1.0,5.0,8.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,0,1.0,0,649,649,1.0,3.0,2.0,1.0,649,668,0,1317,0,0,1,0,3,1,2.0,6,1.0,0,1.0,2.0,1920.0,2.0,1,250,1.0,2.0,2.0,0,54,172,0,0,0,1.0,2.0,1.0,0,7,2008,1.0,1.0,40000
31,32,20,1.0,0.0,8544,1.0,1.0,2.0,1.0,1.0,4.0,1.0,10.0,1.0,1.0,1.0,2.0,5,6,1966,2006,1.0,1.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,0,1.0,0,1228,1228,1.0,2.0,1.0,1.0,1228,0,0,1228,0,0,1,1,3,1,1.0,6,1.0,0,1.0,1.0,1966.0,2.0,1,271,1.0,1.0,1.0,0,65,0,0,0,0,1.0,2.0,1.0,0,6,2008,1.0,1.0,149350
32,33,20,1.0,85.0,11049,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,8,5,2007,2007,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,0,1.0,0,1234,1234,1.0,1.0,1.0,1.0,1234,0,0,1234,0,0,2,0,3,1,1.0,7,1.0,0,1.0,1.0,2007.0,1.0,2,484,1.0,1.0,1.0,0,30,0,0,0,0,1.0,1.0,1.0,0,1,2008,1.0,1.0,179900
33,34,20,1.0,70.0,10552,1.0,1.0,2.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,5,1959,1959,2.0,1.0,5.0,8.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1018,1.0,0,380,1398,1.0,2.0,1.0,1.0,1700,0,0,1700,0,1,1,1,4,1,1.0,6,1.0,1,3.0,1.0,1959.0,1.0,2,447,1.0,1.0,1.0,0,38,0,0,0,0,1.0,1.0,1.0,0,4,2010,1.0,1.0,165500
34,35,120,1.0,60.0,7313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,4.0,2.0,9,5,2005,2005,2.0,1.0,2.0,2.0,1.0,246.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1153,1.0,0,408,1561,1.0,1.0,1.0,1.0,1561,0,0,1561,1,0,2,0,2,1,3.0,6,1.0,1,3.0,1.0,2005.0,3.0,2,556,1.0,1.0,1.0,203,47,0,0,0,0,1.0,1.0,1.0,0,8,2007,1.0,1.0,277500
35,36,60,1.0,108.0,13418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,8,5,2004,2005,1.0,1.0,1.0,1.0,3.0,132.0,1.0,1.0,1.0,3.0,1.0,4.0,3.0,0,1.0,0,1117,1117,1.0,1.0,1.0,1.0,1132,1320,0,2452,0,0,3,1,4,1,1.0,9,1.0,1,3.0,3.0,2004.0,3.0,3,691,1.0,1.0,1.0,113,32,0,0,0,0,1.0,1.0,1.0,0,9,2006,1.0,1.0,309000
36,37,20,1.0,112.0,10859,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5,5,1994,1995,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0,1.0,0,1097,1097,1.0,1.0,1.0,1.0,1097,0,0,1097,0,0,1,1,3,1,2.0,6,1.0,0,1.0,1.0,1995.0,2.0,2,672,1.0,1.0,1.0,392,64,0,0,0,0,1.0,1.0,1.0,0,6,2009,1.0,1.0,145000
37,38,20,1.0,74.0,8532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,6,1954,1990,2.0,1.0,3.0,6.0,1.0,650.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1213,1.0,0,84,1297,1.0,2.0,1.0,1.0,1297,0,0,1297,0,1,1,0,3,1,2.0,5,1.0,1,2.0,1.0,1954.0,3.0,2,498,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,10,2009,1.0,1.0,153000
38,39,20,1.0,68.0,7922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,7,1953,2007,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,731,1.0,0,326,1057,1.0,3.0,1.0,1.0,1057,0,0,1057,1,0,1,0,3,1,1.0,5,1.0,0,1.0,2.0,1953.0,2.0,1,246,1.0,1.0,1.0,0,52,0,0,0,0,1.0,1.0,1.0,0,1,2010,1.0,2.0,109000
39,40,90,1.0,65.0,6040,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,3.0,2.0,4,5,1955,1955,1.0,1.0,9.0,5.0,2.0,0.0,2.0,1.0,1.0,4.0,3.0,5.0,6.0,0,3.0,0,0,0,1.0,3.0,2.0,4.0,1152,0,0,1152,0,0,2,0,2,2,4.0,6,1.0,0,1.0,5.0,0.0,4.0,0,0,4.0,3.0,2.0,0,0,0,0,0,0,1.0,1.0,1.0,0,6,2008,1.0,4.0,82000
40,41,20,1.0,84.0,8658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,6,5,1965,1965,1.0,1.0,3.0,6.0,1.0,101.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,643,1.0,0,445,1088,1.0,1.0,1.0,1.0,1324,0,0,1324,0,0,2,0,3,1,2.0,6,1.0,1,2.0,1.0,1965.0,1.0,2,440,1.0,1.0,1.0,0,138,0,0,0,0,1.0,3.0,1.0,0,12,2006,1.0,2.0,160000
41,42,20,1.0,115.0,16905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,2.0,5,6,1959,1959,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,967,1.0,0,383,1350,1.0,2.0,1.0,1.0,1328,0,0,1328,0,1,1,1,2,1,2.0,5,1.0,2,3.0,1.0,1959.0,1.0,1,308,1.0,1.0,3.0,0,104,0,0,0,0,1.0,1.0,1.0,0,7,2007,1.0,1.0,170000
42,43,85,1.0,0.0,9180,1.0,1.0,2.0,1.0,1.0,4.0,1.0,13.0,1.0,1.0,1.0,5.0,5,7,1983,1983,1.0,1.0,4.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,747,6.0,93,0,840,1.0,2.0,1.0,1.0,884,0,0,884,1,0,1,0,2,1,1.0,5,1.0,0,1.0,1.0,1983.0,1.0,2,504,1.0,4.0,1.0,240,0,0,0,0,0,1.0,2.0,1.0,0,12,2007,1.0,1.0,144000
43,44,20,1.0,0.0,9200,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5,6,1975,1980,2.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,7.0,280,2.0,491,167,938,1.0,3.0,1.0,1.0,938,0,0,938,1,0,1,0,3,1,2.0,5,1.0,0,1.0,2.0,1977.0,2.0,1,308,1.0,1.0,1.0,145,0,0,0,0,0,1.0,2.0,1.0,0,7,2008,1.0,1.0,130250
44,45,20,1.0,70.0,7945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,5,6,1959,1959,1.0,1.0,5.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,179,2.0,506,465,1150,1.0,1.0,1.0,3.0,1150,0,0,1150,1,0,1,0,3,1,2.0,6,1.0,0,1.0,1.0,1959.0,1.0,1,300,1.0,1.0,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0,5,2006,1.0,1.0,141000
45,46,120,1.0,61.0,7658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,4.0,2.0,9,5,2005,2005,2.0,1.0,2.0,2.0,1.0,412.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,456,1.0,0,1296,1752,1.0,1.0,1.0,1.0,1752,0,0,1752,1,0,2,0,2,1,3.0,6,1.0,1,3.0,1.0,2005.0,1.0,2,576,1.0,1.0,1.0,196,82,0,0,0,0,1.0,1.0,1.0,0,2,2010,1.0,1.0,319900
46,47,50,1.0,48.0,12822,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,3.0,7,5,2003,2003,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1351,1.0,0,83,1434,1.0,1.0,1.0,1.0,1518,631,0,2149,1,0,1,1,1,1,1.0,6,1.0,1,5.0,1.0,2003.0,1.0,2,670,1.0,1.0,1.0,168,43,0,0,198,0,1.0,1.0,1.0,0,8,2009,1.0,2.0,239686
47,48,20,4.0,84.0,11096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,8,5,2006,2006,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,24,1.0,0,1632,1656,1.0,1.0,1.0,1.0,1656,0,0,1656,0,0,2,0,3,1,1.0,7,1.0,0,1.0,1.0,2006.0,1.0,3,826,1.0,1.0,1.0,0,146,0,0,0,0,1.0,1.0,1.0,0,7,2007,1.0,1.0,249700
